Time,RAM,CPU,,Time,RAM,AVG: 0.68632015140725,MIN
24:06.8,45.77441289,41.29538158,,0:03:26,0.609173346,0.686320151,
24:07.8,45.77701503,36.22113704,,0:03:27,0.611775485,0.686320151,
24:08.8,45.71035838,50.54952723,,0:03:28,0.545118842,0.686320151,
24:09.8,45.73313239,40.82245621,,0:03:29,0.567892846,0.686320151,
24:10.8,45.68972856,37.81676038,,0:03:30,0.524489023,0.686320151,
24:11.8,45.72305687,40.79432012,,0:03:31,0.557817333,0.686320151,
24:12.8,45.72959348,33.6539614,,0:03:32,0.564353936,0.686320151,
24:13.8,45.73269522,42.23141794,,0:03:33,0.567455683,0.686320151,
24:14.8,45.73329893,42.4632852,,0:03:34,0.56805939,0.686320151,
24:15.8,45.72794892,40.54544012,,0:03:35,0.562709384,0.686320151,
24:16.8,45.72301524,43.07227252,,0:03:36,0.557775702,0.686320151,
24:17.8,45.71233602,44.12210828,,0:03:37,0.547096483,0.686320151,
24:18.8,45.72276544,38.15282148,,0:03:38,0.557525898,0.686320151,
24:19.8,45.19592406,40.94012493,,0:03:39,0.030684518,0.686320151,
24:20.8,45.23939035,41.88562528,,0:03:40,0.074150809,0.686320151,
24:21.8,45.28891443,33.00396887,,0:03:41,0.123674888,0.686320151,
24:22.8,45.51909008,43.78762748,,0:03:42,0.353850541,0.686320151,
24:23.8,45.59777904,40.43843668,,0:03:43,0.432539499,0.686320151,
24:24.8,45.67557288,39.47331257,,0:03:44,0.510333339,0.686320151,
24:25.8,45.79285689,52.76461096,,0:03:45,0.627617352,0.686320151,
24:26.8,46.13007452,62.25829988,,0:03:46,0.964834984,0.686320151,
24:27.8,45.73286177,45.74457279,,0:03:47,0.567622227,0.686320151,
24:28.8,45.69382955,44.31755077,,0:03:48,0.528590009,0.686320151,
24:29.8,45.71710316,41.87386462,,0:03:49,0.55186362,0.686320151,
24:30.8,45.73442306,33.30315011,,0:03:50,0.569183519,0.686320151,
24:31.8,45.75690563,43.04390529,,0:03:51,0.591666089,0.686320151,
24:32.8,45.76396266,35.93130776,,0:03:52,0.598723116,0.686320151,
24:33.8,45.69137312,37.82222169,,0:03:53,0.526133576,0.686320151,
24:34.8,45.71839383,41.59857194,,0:03:54,0.553154294,0.686320151,
24:35.8,45.72209929,31.97910603,,0:03:55,0.556859747,0.686320151,
24:36.8,46.11902059,52.2365614,,0:03:56,0.953781046,0.686320151,
24:37.8,46.13392571,45.07157314,,0:03:57,0.968686166,0.686320151,
24:38.8,46.12867975,43.55440702,,0:03:58,0.963440212,0.686320151,
24:39.8,46.13338445,43.16743571,,0:03:59,0.968144904,0.686320151,
24:40.8,46.13721481,36.67649829,,0:04:00,0.971975271,0.686320151,
24:41.8,46.08540084,54.22575516,,0:04:01,0.920161302,0.686320151,
24:42.8,46.12320483,43.88825946,,0:04:02,0.957965292,0.686320151,
24:43.8,46.1310113,33.73627838,,0:04:03,0.965771754,0.686320151,
24:44.8,46.09314484,39.56353222,,0:04:04,0.927905296,0.686320151,
24:45.8,46.09855729,47.8130542,,0:04:05,0.933317747,0.686320151,
24:46.8,46.09732908,44.03361408,,0:04:06,0.932089542,0.686320151,
24:47.8,46.09491428,41.7894312,,0:04:07,0.929674739,0.686320151,
24:48.8,46.24792061,68.5648465,,0:04:08,1.082681073,0.686320151,
24:49.8,46.22978883,63.29599693,,0:04:09,1.064549294,0.686320151,
24:50.8,46.27646097,57.56002167,,0:04:10,1.11122143,0.686320151,
24:51.8,46.30065054,52.37270759,,0:04:11,1.135410997,0.686320151,
24:52.8,46.29267756,62.65914482,,0:04:12,1.127438015,0.686320151,
24:53.8,45.90081483,57.41874711,,0:04:13,0.735575287,0.686320151,
24:54.8,45.91357576,41.58039223,,0:04:14,0.748336222,0.686320151,
24:55.8,45.92077852,39.19564957,,0:04:15,0.755538978,0.686320151,
24:56.8,45.90166834,40.31479854,,0:04:16,0.736428797,0.686320151,
24:57.8,45.83378349,46.56512758,,0:04:17,0.66854395,0.686320151,
24:58.8,45.79664563,53.83006018,,0:04:18,0.631406089,0.686320151,
24:59.8,45.80051763,38.57394191,,0:04:19,0.635278085,0.686320151,
25:00.8,45.84202709,44.38420345,,0:04:20,0.676787552,0.686320151,
25:01.8,45.79724934,44.17621036,,0:04:21,0.632009795,0.686320151,
25:02.8,45.81165482,39.22751053,,0:04:22,0.646415283,0.686320151,
25:03.8,45.82260466,37.76924056,,0:04:23,0.657365122,0.686320151,
25:04.8,45.81910738,41.59825149,,0:04:24,0.653867843,0.686320151,
25:05.8,45.81373654,38.18201638,,0:04:25,0.648496999,0.686320151,
25:06.8,45.8623655,36.74182586,,0:04:26,0.69712596,0.686320151,
25:07.8,45.8405699,49.5589214,,0:04:27,0.675330358,0.686320151,
25:08.8,45.80355693,43.61388696,,0:04:28,0.638317387,0.686320151,
25:09.8,45.8260395,41.58807063,,0:04:29,0.660799956,0.686320151,
25:10.8,45.82229241,44.06254216,,0:04:30,0.657052873,0.686320151,
25:11.8,45.84904249,42.82102298,,0:04:31,0.683802948,0.686320151,
25:12.8,45.86144955,38.17937182,,0:04:32,0.696210005,0.686320151,
25:13.8,45.84950047,39.36007538,,0:04:33,0.684260926,0.686320151,
25:14.8,45.88632608,36.73902611,,0:04:34,0.721086539,0.686320151,
25:15.8,45.83070256,44.69062511,,0:04:35,0.665463018,0.686320151,
25:16.8,45.85276876,37.3039354,,0:04:36,0.687529217,0.686320151,
25:17.8,45.84581583,37.82538079,,0:04:37,0.680576288,0.686320151,
25:18.8,45.86790287,38.53498938,,0:04:38,0.702663325,0.686320151,
25:19.8,45.86944334,40.75595694,,0:04:39,0.704203802,0.686320151,
25:20.8,45.88078869,37.17041449,,0:04:40,0.715549151,0.686320151,
25:21.8,45.80257853,37.77687433,,0:04:41,0.637338986,0.686320151,
25:22.8,45.77218544,50.66449184,,0:04:42,0.606945902,0.686320151,
25:23.8,45.80391083,39.3463682,,0:04:43,0.638671289,0.686320151,
25:24.8,45.80849061,39.54756656,,0:04:44,0.643251068,0.686320151,
25:25.8,45.78998414,39.24980881,,0:04:45,0.624744594,0.686320151,
25:26.8,46.14106599,61.04376069,,0:04:46,0.975826453,0.686320151,
25:27.8,45.82884981,57.63223958,,0:04:47,0.663610269,0.686320151,
25:28.8,45.98537424,51.19325185,,0:04:48,0.820134697,0.686320151,
25:29.8,45.82474882,53.02397175,,0:04:49,0.659509283,0.686320151,
25:30.8,45.83736405,43.59288524,,0:04:50,0.672124513,0.686320151,
25:31.8,45.78496719,46.62239602,,0:04:51,0.619727653,0.686320151,
25:32.8,45.80757465,36.8786238,,0:04:52,0.642335112,0.686320151,
25:33.8,45.78373897,38.46746255,,0:04:53,0.618499424,0.686320151,
25:34.8,45.80468106,44.04426567,,0:04:54,0.639441516,0.686320151,
25:35.8,45.81577663,36.52238525,,0:04:55,0.650537084,0.686320151,
25:36.8,45.81646359,37.92213057,,0:04:56,0.651224051,0.686320151,
25:37.8,45.84246426,38.54664045,,0:04:57,0.677224714,0.686320151,
25:38.8,45.86552969,40.88761353,,0:04:58,0.700290152,0.686320151,
25:39.8,45.78103275,40.28438399,,0:04:59,0.615793211,0.686320151,
25:40.8,45.82645584,37.09414162,,0:05:00,0.661216304,0.686320151,
25:41.8,45.82708037,41.54077573,,0:05:01,0.661840825,0.686320151,
25:42.8,45.82418677,38.05486121,,0:05:02,0.65894723,0.686320151,
25:43.8,45.81975272,37.35849758,,0:05:03,0.654513179,0.686320151,
25:44.8,45.83061928,37.10841079,,0:05:04,0.665379735,0.686320151,
25:45.8,45.78394714,54.30352398,,0:05:05,0.618707598,0.686320151,
25:46.8,45.80282833,36.2793561,,0:05:06,0.63758879,0.686320151,
25:47.8,45.83359613,36.86717701,,0:05:07,0.668356591,0.686320151,
25:48.8,45.78467576,39.88565983,,0:05:08,0.619436219,0.686320151,
25:49.8,45.77199808,41.99571333,,0:05:09,0.606758543,0.686320151,
25:50.8,45.75698889,36.66489701,,0:05:10,0.591749349,0.686320151,
25:51.8,45.75961187,37.29085174,,0:05:11,0.594372326,0.686320151,
25:52.8,45.78226096,51.83779107,,0:05:12,0.617021416,0.686320151,
25:53.8,45.80667951,40.82546883,,0:05:13,0.641439972,0.686320151,
25:54.8,45.77081151,39.66848712,,0:05:14,0.605571969,0.686320151,
25:55.8,45.79570886,38.27076269,,0:05:15,0.630469318,0.686320151,
25:56.8,45.81475659,40.87419657,,0:05:16,0.649517053,0.686320151,
25:57.8,45.80695013,38.99726012,,0:05:17,0.641710591,0.686320151,
25:58.8,45.80946901,37.52472907,,0:05:18,0.644229469,0.686320151,
25:59.8,45.81063477,36.80363424,,0:05:19,0.645395229,0.686320151,
26:00.8,45.82123073,44.7316978,,0:05:20,0.655991188,0.686320151,
26:01.8,45.80545131,46.08995052,,0:05:21,0.640211767,0.686320151,
26:02.8,45.79641664,37.69867029,,0:05:22,0.6311771,0.686320151,
26:03.8,45.72617946,44.88690887,,0:05:23,0.560939917,0.686320151,
26:04.8,45.72345241,49.58800451,,0:05:24,0.558212865,0.686320151,
26:05.8,45.72803219,47.89148449,,0:05:25,0.562792644,0.686320151,
26:06.8,45.75698889,38.97022584,,0:05:26,0.591749349,0.686320151,
26:07.8,46.08506776,51.06833192,,0:05:27,0.919828215,0.686320151,
26:08.8,46.0882736,60.75264595,,0:05:28,0.92303406,0.686320151,
26:09.8,46.12029045,52.74580905,,0:05:29,0.955050905,0.686320151,
26:10.8,46.12141458,55.97951855,,0:05:30,0.956175034,0.686320151,
26:11.8,46.13353017,57.3581751,,0:05:31,0.968290633,0.686320151,
26:12.8,46.13251012,54.01997868,,0:05:32,0.967270578,0.686320151,
26:13.8,46.13086557,53.24267883,,0:05:33,0.965626026,0.686320151,
26:14.8,46.11829199,61.37140131,,0:05:34,0.953052449,0.686320151,
26:15.8,45.63791457,71.82843329,,0:05:35,0.472675031,0.686320151,
26:16.8,45.72420182,52.74002695,,0:05:36,0.558962277,0.686320151,
26:17.8,45.39145991,62.64408926,,0:05:37,0.226220372,0.686320151,
26:18.8,45.16523954,48.56070171,,0:05:38,0,0.686320151,
26:19.8,45.17523179,41.63485177,,0:05:39,0.009992253,0.686320151,
26:20.8,45.34210235,38.00927431,,0:05:40,0.176862814,0.686320151,
26:21.8,45.51661283,36.76268934,,0:05:41,0.351373293,0.686320151,
26:22.8,45.56099508,37.72799886,,0:05:42,0.39575554,0.686320151,
26:23.8,45.63060774,42.21220331,,0:05:43,0.4653682,0.686320151,
26:24.8,45.61905422,46.9066045,,0:05:44,0.453814678,0.686320151,
26:25.8,45.75738442,42.7587269,,0:05:45,0.592144882,0.686320151,
26:26.8,46.06333462,60.42218184,,0:05:46,0.898095081,0.686320151,
26:27.8,45.187847,54.0685039,,0:05:47,0.02260746,0.686320151,
26:28.8,45.21784457,36.65469875,,0:05:48,0.052605034,0.686320151,
26:29.8,45.22771191,36.79192834,,0:05:49,0.062472373,0.686320151,
26:30.8,45.29353586,42.26522194,,0:05:50,0.12829632,0.686320151,
26:31.8,45.32549024,36.75892877,,0:05:51,0.160250696,0.686320151,
26:32.8,45.2459894,40.87231693,,0:05:52,0.080749858,0.686320151,
26:33.8,45.26657759,36.34405193,,0:05:53,0.101338048,0.686320151,
26:34.8,45.25287988,42.20214174,,0:05:54,0.087640341,0.686320151,
26:35.8,45.46048971,39.19731488,,0:05:55,0.295250164,0.686320151,
26:36.8,45.53994889,36.69534136,,0:05:56,0.374709349,0.686320151,
26:37.8,45.56322253,36.8503184,,0:05:57,0.397982984,0.686320151,
26:38.8,45.68331687,47.89434237,,0:05:58,0.518077333,0.686320151,
26:39.8,45.65402708,42.16721692,,0:05:59,0.48878754,0.686320151,
26:40.8,45.6750108,36.72073499,,0:06:00,0.509771262,0.686320151,
26:41.8,45.64628309,42.33038755,,0:06:01,0.481043547,0.686320151,
26:42.8,45.64732396,39.07461604,,0:06:02,0.482084416,0.686320151,
26:43.8,45.64201556,36.67192913,,0:06:03,0.476776017,0.686320151,
26:44.8,45.64332705,37.308708,,0:06:04,0.478087505,0.686320151,
26:45.8,45.65456832,51.80952199,,0:06:05,0.489328778,0.686320151,
26:46.8,45.68833382,37.58185142,,0:06:06,0.523094274,0.686320151,
26:47.8,45.70715254,36.86734096,,0:06:07,0.541912997,0.686320151,
26:48.8,45.66410259,39.88490312,,0:06:08,0.498863054,0.686320151,
26:49.8,45.70434223,41.54430962,,0:06:09,0.539102685,0.686320151,
26:50.8,45.65783663,36.70007847,,0:06:10,0.492597092,0.686320151,
26:51.8,45.67265847,38.52523516,,0:06:11,0.507418928,0.686320151,
26:52.8,45.66809951,38.73228239,,0:06:12,0.502859964,0.686320151,
26:53.8,45.6647063,40.32221639,,0:06:13,0.49946676,0.686320151,
26:54.8,45.68924977,55.12734148,,0:06:14,0.52401023,0.686320151,
26:55.8,45.69170618,38.25197487,,0:06:15,0.52646664,0.686320151,
26:56.8,45.72082943,38.04991212,,0:06:16,0.555589888,0.686320151,
26:57.8,45.67496917,42.4137027,,0:06:17,0.509729632,0.686320151,
26:58.8,45.66880729,36.49185919,,0:06:18,0.503567746,0.686320151,
26:59.8,45.67401159,38.58178061,,0:06:19,0.508772046,0.686320151,
27:00.8,45.67170088,40.48516052,,0:06:20,0.506461342,0.686320151,
27:01.8,45.67738398,47.94537137,,0:06:21,0.512144435,0.686320151,
27:02.8,45.70400914,36.51952269,,0:06:22,0.538769597,0.686320151,
27:03.8,45.71204459,38.13597687,,0:06:23,0.546805048,0.686320151,
27:04.8,45.68144331,43.40791468,,0:06:24,0.516203768,0.686320151,
27:05.8,45.72014246,36.38861423,,0:06:25,0.554902922,0.686320151,
27:06.8,45.77047842,38.24446029,,0:06:26,0.605238881,0.686320151,
27:07.8,45.77834733,37.4758233,,0:06:27,0.613107789,0.686320151,
27:08.8,45.76521168,39.87727667,,0:06:28,0.599972136,0.686320151,
27:09.8,45.6415784,44.87981455,,0:06:29,0.476338854,0.686320151,
27:10.8,45.60138042,53.37422803,,0:06:30,0.436140876,0.686320151,
27:11.8,45.62394625,44.01745915,,0:06:31,0.458706706,0.686320151,
27:12.8,45.64411811,43.73049469,,0:06:32,0.478878571,0.686320151,
27:13.8,45.60248373,44.67516182,,0:06:33,0.437244191,0.686320151,
27:14.8,45.61684759,36.21949676,,0:06:34,0.451608049,0.686320151,
27:15.8,45.64353522,40.74717869,,0:06:35,0.478295679,0.686320151,
27:16.8,45.665539,39.33798674,,0:06:36,0.500299456,0.686320151,
27:17.8,45.65629616,36.08534344,,0:06:37,0.491056615,0.686320151,
27:18.8,45.65317357,37.19591362,,0:06:38,0.48793403,0.686320151,
27:19.8,45.66287439,50.55882735,,0:06:39,0.497634849,0.686320151,
27:20.8,45.63547898,44.07677897,,0:06:40,0.470239436,0.686320151,
