Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
06:26.8,47.60187213,,01:45.0,0.500439596,0.705007556,,38.5705127
06:27.8,47.60338386,,01:46.0,0.501951319,0.705007556,,32.06875894
06:28.8,47.49086004,,01:47.0,0.389427506,0.705007556,,40.31628289
06:29.8,47.50579825,,01:48.0,0.40436571,0.705007556,,34.13726679
06:30.8,47.49060146,,01:49.0,0.389168924,0.705007556,,26.99469137
06:31.8,47.48365948,,01:50.0,0.382226938,0.705007556,,40.569361
06:32.8,47.48980581,,01:51.0,0.388373272,0.705007556,,29.43108579
06:33.8,47.47405207,,01:52.0,0.372619531,0.705007556,,31.601295
06:34.8,47.46786595,,01:53.0,0.366433407,0.705007556,,36.82588408
06:35.8,47.47749324,,01:54.0,0.376060698,0.705007556,,28.0737334
06:36.8,47.44037649,,01:55.0,0.338943955,0.705007556,,30.96934679
06:37.8,47.44222636,,01:56.0,0.340793817,0.705007556,,31.3482287
06:38.8,47.44688087,,01:57.0,0.345448335,0.705007556,,29.25885159
06:39.8,47.43956096,,01:58.0,0.338128419,0.705007556,,27.64872268
06:40.8,47.43886477,,01:59.0,0.337432232,0.705007556,,41.04975997
06:41.8,47.43608002,,02:00.0,0.334647484,0.705007556,,29.71197894
06:42.8,47.42790478,,02:01.0,0.326472242,0.705007556,,31.14897609
06:43.8,47.43773098,,02:02.0,0.33629844,0.705007556,,37.07723188
06:44.8,47.43011269,,02:03.0,0.328680151,0.705007556,,26.12254223
06:45.8,47.42780534,,02:04.0,0.3263728,0.705007556,,37.76981062
06:46.8,47.42708924,,02:05.0,0.325656706,0.705007556,,34.06643697
06:47.8,47.42247452,,02:06.0,0.321041979,0.705007556,,28.10072643
06:48.8,47.4312266,,02:07.0,0.32979406,0.705007556,,40.08034199
06:49.8,47.4303315,,02:08.0,0.328898965,0.705007556,,29.86323454
06:50.8,47.42482166,,02:09.0,0.323389121,0.705007556,,32.36902311
06:51.8,47.43619937,,02:10.0,0.334766833,0.705007556,,36.21486395
06:52.8,47.75300453,,02:11.0,0.651571993,0.705007556,,42.9126444
06:53.8,47.42963532,,02:12.0,0.328202779,0.705007556,,49.68637577
06:54.8,47.44063507,,02:13.0,0.339202536,0.705007556,,34.40441634
06:55.8,47.43870563,,02:14.0,0.337273092,0.705007556,,27.11522107
06:56.8,47.42579634,,02:15.0,0.324363797,0.705007556,,36.88729185
06:57.8,47.42800425,,02:16.0,0.326571707,0.705007556,,33.58654411
06:58.8,47.43602035,,02:17.0,0.33458781,0.705007556,,25.13585708
06:59.8,47.41746198,,02:18.0,0.316029438,0.705007556,,27.67609065
07:00.8,47.39060901,,02:19.0,0.289176474,0.705007556,,37.02166479
07:01.8,47.39395071,,02:20.0,0.292518176,0.705007556,,35.87736789
07:02.8,47.41481646,,02:21.0,0.313383923,0.705007556,,40.88957902
07:03.8,47.41529383,,02:22.0,0.313861296,0.705007556,,50.06845526
07:04.8,47.4086701,,02:23.0,0.307237567,0.705007556,,41.5475175
07:05.8,47.42000803,,02:24.0,0.318575488,0.705007556,,32.60884967
07:06.8,47.41119627,,02:25.0,0.309763732,0.705007556,,36.62894868
07:07.8,47.41238974,,02:26.0,0.310957199,0.705007556,,40.86483911
07:08.8,47.41294669,,02:27.0,0.311514153,0.705007556,,31.76612132
07:09.8,47.38883871,,02:28.0,0.28740617,0.705007556,,35.87577503
07:10.8,47.3919616,,02:29.0,0.290529057,0.705007556,,40.87659966
07:11.8,47.4008927,,02:30.0,0.299460162,0.705007556,,34.98914091
07:12.8,47.3904499,,02:31.0,0.289017358,0.705007556,,32.42517928
07:13.8,47.39950033,,02:32.0,0.298067788,0.705007556,,40.84694552
07:14.8,47.40170824,,02:33.0,0.300275697,0.705007556,,36.41344662
07:15.8,47.40439352,,02:34.0,0.30296098,0.705007556,,31.97774361
07:16.8,47.35188108,,02:35.0,0.250448543,0.705007556,,40.91972369
07:17.8,47.36791329,,02:36.0,0.266480749,0.705007556,,32.83464834
07:18.8,47.38110107,,02:37.0,0.279668532,0.705007556,,24.9639178
07:19.8,47.10143254,,02:38.0,0,0.705007556,,35.09683835
07:20.8,47.12585878,,02:39.0,0.02442624,0.705007556,,31.83386736
07:21.8,47.1361027,,02:40.0,0.034670159,0.705007556,,27.56578855
07:22.8,47.15324879,,02:41.0,0.05181625,0.705007556,,25.43062138
07:23.8,47.16269706,,02:42.0,0.061264518,0.705007556,,35.79895928
07:24.8,47.20510483,,02:43.0,0.103672291,0.705007556,,33.30066223
07:25.8,47.19402551,,02:44.0,0.092592975,0.705007556,,28.66610427
07:26.8,47.20584081,,02:45.0,0.104408269,0.705007556,,35.00707254
07:27.8,47.21528907,,02:46.0,0.113856536,0.705007556,,30.85939808
07:28.8,47.2015841,,02:47.0,0.100151566,0.705007556,,26.31296875
07:29.8,47.2134193,,02:48.0,0.111986767,0.705007556,,40.98404256
07:30.8,47.16044938,,02:49.0,0.059016841,0.705007556,,29.89579883
07:31.8,47.16406955,,02:50.0,0.062637008,0.705007556,,25.73267694
07:32.8,47.15714744,,02:51.0,0.055714906,0.705007556,,36.28903753
07:33.8,47.17598431,,02:52.0,0.074551767,0.705007556,,32.39812599
07:34.8,47.15110055,,02:53.0,0.049668015,0.705007556,,28.31490016
07:35.8,47.16349271,,02:54.0,0.06206017,0.705007556,,39.37066766
07:36.8,47.15901721,,02:55.0,0.057584676,0.705007556,,28.95693765
07:37.8,47.15945482,,02:56.0,0.058022281,0.705007556,,27.42941505
07:38.8,47.1465455,,02:57.0,0.045112963,0.705007556,,36.97307851
07:39.8,47.1623788,,02:58.0,0.060946262,0.705007556,,29.69088766
07:40.8,47.14696322,,02:59.0,0.045530684,0.705007556,,31.25526537
07:41.8,47.16782895,,03:00.0,0.066396408,0.705007556,,35.29761552
07:42.8,47.18147424,,03:01.0,0.080041704,0.705007556,,28.04786495
