Time,RAM,,Time,RAM,AVG: 0.261943534181408,Smallest,CPU
30:51.9,75.7977714,,00:36.0,0.585633074,0.261943534,,34.22165845
30:52.9,75.80650357,,00:37.0,0.594365248,0.261943534,,33.78717384
30:53.9,75.8057676,,00:38.0,0.59362927,0.261943534,,33.9246282
30:54.9,75.81024309,,00:39.0,0.598104764,0.261943534,,32.66235674
30:55.9,75.66921536,,00:40.0,0.457077031,0.261943534,,45.6310532
30:56.9,75.66637094,,00:41.0,0.454232609,0.261943534,,39.66184372
30:57.9,75.66855896,,00:42.0,0.456420635,0.261943534,,39.96343544
30:58.9,75.64675833,,00:43.0,0.434620003,0.261943534,,39.57618167
30:59.9,75.64836952,,00:44.0,0.436231191,0.261943534,,39.71404337
31:00.9,75.64693735,,00:45.0,0.434799027,0.261943534,,40.51411716
31:01.9,75.63756867,,00:46.0,0.425430341,0.261943534,,39.98324686
31:02.9,75.63655422,,00:47.0,0.424415898,0.261943534,,39.59832777
31:03.9,75.63275501,,00:48.0,0.420616684,0.261943534,,37.34894817
31:04.9,75.66368565,,00:49.0,0.451547327,0.261943534,,33.14461969
31:05.9,75.66308891,,00:50.0,0.450950582,0.261943534,,26.16680765
31:06.9,75.66477965,,00:51.0,0.452641328,0.261943534,,27.55123902
31:07.9,75.66487912,,00:52.0,0.452740793,0.261943534,,26.71203483
31:08.9,75.65431694,,00:53.0,0.442178617,0.261943534,,27.14219912
31:09.9,75.66953361,,00:54.0,0.457395287,0.261943534,,29.2946284
31:10.9,75.67060773,,00:55.0,0.458469405,0.261943534,,27.0342422
31:11.9,75.67038894,,00:56.0,0.458250614,0.261943534,,27.09953333
31:12.9,75.66358619,,00:57.0,0.451447861,0.261943534,,26.73339195
31:13.9,75.65650497,,00:58.0,0.444366643,0.261943534,,29.32485792
31:14.9,75.6678031,,00:59.0,0.455664774,0.261943534,,27.47710591
31:15.9,75.66040363,,01:00.0,0.448265299,0.261943534,,26.6288379
31:16.9,75.65570932,,01:01.0,0.443570991,0.261943534,,26.4712525
31:17.9,75.66316847,,01:02.0,0.45103014,0.261943534,,26.78318242
31:18.9,75.65815593,,01:03.0,0.446017599,0.261943534,,29.83639722
31:19.9,75.65938918,,01:04.0,0.447250856,0.261943534,,25.83614683
31:20.9,75.66277065,,01:05.0,0.450632325,0.261943534,,26.42442121
31:21.9,75.65212894,,01:06.0,0.439990615,0.261943534,,28.46305338
31:22.9,75.65405836,,01:07.0,0.441920036,0.261943534,,27.46980377
31:23.9,75.64250165,,01:08.0,0.430363324,0.261943534,,29.96197473
31:24.9,75.65089568,,01:09.0,0.438757357,0.261943534,,26.4077756
31:25.9,75.65139296,,01:10.0,0.439254637,0.261943534,,26.82674295
31:26.9,75.66651017,,01:11.0,0.454371842,0.261943534,,26.90340185
31:27.9,75.65875265,,01:12.0,0.44661432,0.261943534,,26.7018466
31:28.9,75.65549053,,01:13.0,0.4433522,0.261943534,,29.85211733
31:29.9,75.64992103,,01:14.0,0.437782705,0.261943534,,27.41275297
31:30.9,75.65495346,,01:15.0,0.44281513,0.261943534,,27.27947652
31:31.9,75.753832,,01:16.0,0.541693671,0.261943534,,29.87519898
31:32.9,76.02942287,,01:17.0,0.817284547,0.261943534,,46.80408437
31:33.9,75.66649028,,01:18.0,0.454351958,0.261943534,,41.27019964
31:34.9,75.66173633,,01:19.0,0.449597999,0.261943534,,32.93655615
31:35.9,75.65588834,,01:20.0,0.443750015,0.261943534,,32.19205085
31:36.9,75.66619191,,01:21.0,0.454053586,0.261943534,,35.25660512
31:37.9,75.66867831,,01:22.0,0.456539984,0.261943534,,32.51243145
31:38.9,75.65435673,,01:23.0,0.442218408,0.261943534,,35.68632064
31:39.9,75.66728594,,01:24.0,0.45514761,0.261943534,,32.41697809
31:40.9,75.66340716,,01:25.0,0.451268838,0.261943534,,32.36832467
31:41.9,75.67221892,,01:26.0,0.460080593,0.261943534,,35.76935441
31:42.9,75.66509791,,01:27.0,0.452959584,0.261943534,,32.23477359
31:43.9,75.67673418,,01:28.0,0.464595854,0.261943534,,35.0952083
31:44.9,75.6769132,,01:29.0,0.464774878,0.261943534,,32.76151276
31:45.9,75.66985187,,01:30.0,0.457713544,0.261943534,,32.0980051
31:46.9,75.68176663,,01:31.0,0.469628302,0.261943534,,35.69099602
31:47.9,75.68077207,,01:32.0,0.468633743,0.261943534,,32.55613039
31:48.9,75.67050829,,01:33.0,0.458369963,0.261943534,,33.37216083
31:49.9,75.66766387,,01:34.0,0.455525541,0.261943534,,34.72890533
31:50.9,75.68150805,,01:35.0,0.469369721,0.261943534,,32.24282847
31:51.9,75.66517747,,01:36.0,0.453039142,0.261943534,,36.09374247
31:52.9,75.68136881,,01:37.0,0.469230488,0.261943534,,32.758885
31:53.9,75.68055328,,01:38.0,0.468414952,0.261943534,,35.37968943
31:54.9,75.69503397,,01:39.0,0.482895644,0.261943534,,32.29450366
