,ORIGINAL,,,,1TS,,,7TS,,,25TS,,,100TS,,,FINAL,
Time,RAM,AVG,,Time,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG,,RAM,AVG
01:07.0,27.75155251,26.56918,,01:07.0,0.441920036,0.261943534,,0.425450248,0.705007556,,0.297685782,0.497783456,,1.029618061,0.686320151,,0.371149625,0.358363254
01:08.0,27.72068154,26.56918,,01:08.0,0.430363324,0.261943534,,0.414152118,0.705007556,,0.299642608,0.497783456,,1.009800099,0.686320151,,0.67474749,0.358363254
01:09.0,27.71751886,26.56918,,01:09.0,0.438757357,0.261943534,,0.413873629,0.705007556,,0.302182301,0.497783456,,1.028889464,0.686320151,,0.656324276,0.358363254
01:10.0,27.71248641,26.56918,,01:10.0,0.439254637,0.261943534,,0.405320479,0.705007556,,0.30241129,0.497783456,,1.05008136,0.686320151,,0.670958753,0.358363254
01:11.0,27.7201047,26.56918,,01:11.0,0.454371842,0.261943534,,0.635281205,0.705007556,,0.303556235,0.497783456,,1.072876179,0.686320151,,0.626118551,0.358363254
01:12.0,27.92904056,26.56918,,01:12.0,0.44661432,0.261943534,,0.736586447,0.705007556,,0.268749893,0.497783456,,1.036196295,0.686320151,,,
01:13.0,28.20467121,26.56918,,01:13.0,0.4433522,0.261943534,,0.413336582,0.705007556,,0.27786782,0.497783456,,1.060573221,0.686320151,,,
01:14.0,27.71769788,26.56918,,01:14.0,0.437782705,0.261943534,,0.41805075,0.705007556,,0.270082196,0.497783456,,0.669126841,0.686320151,,,
01:15.0,27.6989406,26.56918,,01:15.0,0.44281513,0.261943534,,0.410114229,0.705007556,,0.274911779,0.497783456,,0.659217849,0.686320151,,,
01:16.0,27.70303817,26.56918,,01:16.0,0.541693671,0.261943534,,0.414927863,0.705007556,,0.269811577,0.497783456,,0.68357396,0.686320151,,,
01:17.0,27.70570357,26.56918,,01:17.0,0.817284547,0.261943534,,0.408065436,0.705007556,,0.264170114,0.497783456,,0.697042677,0.686320151,,,
01:18.0,27.64054039,26.56918,,01:18.0,0.454351958,0.261943534,,0.414589723,0.705007556,,0.264648907,0.497783456,,0.716735749,0.686320151,,,
01:19.0,27.624727,26.56918,,01:19.0,0.449597999,0.261943534,,0.422566035,0.705007556,,0.270831608,0.497783456,,0.673810695,0.686320151,,,
01:20.0,27.62775045,26.56918,,01:20.0,0.443750015,0.261943534,,0.424913177,0.705007556,,0.258341292,0.497783456,,0.71981668,0.686320151,,,
01:21.0,27.62430928,26.56918,,01:21.0,0.454053586,0.261943534,,0.414370908,0.705007556,,0.256113871,0.497783456,,0.677828421,0.686320151,,,
01:22.0,27.62486623,26.56918,,01:22.0,0.456539984,0.261943534,,0.430204207,0.705007556,,0.258424576,0.497783456,,0.673290272,0.686320151,,,
01:23.0,27.6340758,26.56918,,01:23.0,0.442218408,0.261943534,,0.410810416,0.705007556,,0.250076875,0.497783456,,0.672478392,0.686320151,,,
01:24.0,27.63522948,26.56918,,01:24.0,0.45514761,0.261943534,,0.411128672,0.705007556,,0.271289586,0.497783456,,0.665712822,0.686320151,,,
01:25.0,27.62361309,26.56918,,01:25.0,0.451268838,0.261943534,,0.41854803,0.705007556,,0.255364436,0.497783456,,0.709990971,0.686320151,,,
01:26.0,27.63087333,26.56918,,01:26.0,0.460080593,0.261943534,,0.414728955,0.705007556,,0.249598082,0.497783456,,0.702829869,0.686320151,,,
01:27.0,27.62888424,26.56918,,01:27.0,0.452959584,0.261943534,,0.418070657,0.705007556,,0.248244964,0.497783456,,0.750709395,0.686320151,,,
01:28.0,27.63853139,26.56918,,01:28.0,0.464595854,0.261943534,,0.413436024,0.705007556,,0.257279631,0.497783456,,0.699166046,0.686320151,,,
01:29.0,27.61840162,26.56918,,01:29.0,0.464774878,0.261943534,,0.415186444,0.705007556,,0.246475497,0.497783456,,0.719795865,0.686320151,,,
01:30.0,27.61573622,26.56918,,01:30.0,0.457713544,0.261943534,,0.413555373,0.705007556,,0.242645131,0.497783456,,0.730620814,0.686320151,,,
01:31.0,27.61376701,26.56918,,01:31.0,0.469628302,0.261943534,,0.41391342,0.705007556,,0.243207207,0.497783456,,0.718380301,0.686320151,,,
01:32.0,27.61999292,26.56918,,01:32.0,0.468633743,0.261943534,,0.404723734,0.705007556,,0.24807842,0.497783456,,0.72304334,0.686320151,,,
01:33.0,27.62657686,26.56918,,01:33.0,0.458369963,0.261943534,,0.398816099,0.705007556,,0.168973114,0.497783456,,0.71896317,0.686320151,,,
01:34.0,27.62924226,26.56918,,01:34.0,0.455525541,0.261943534,,0.493258913,0.705007556,,0.159105775,0.497783456,,0.715715694,0.686320151,,,
01:35.0,27.62588068,26.56918,,01:35.0,0.469369721,0.261943534,,0.502070668,0.705007556,,0.167182833,0.497783456,,0.726353284,0.686320151,,,
01:36.0,27.61394603,26.56918,,01:36.0,0.453039142,0.261943534,,0.499266014,0.705007556,,0.147885294,0.497783456,,0.718338671,0.686320151,,,
